12ft Tall Gorilla/Wolf,,Missouri,North America,#,,,
4 Horsemen,The Four Horsemen of the Apocalypse each representing one of the four evils: pestilence war famine and death.,Christianity,Europe,https://www.jw.org/en/library/magazines/watchtower-no3-2017-may/who-are-the-four-horsemen/,,,
Afane,Crocodile/Beaver fusion spawned near Betus-Coed lake.,Celtic,Europe,#,,,
Ahuizutil,Water dog that kills and drowns victims. Has the mane of a lion webbed feet and its tail has a hand on the end to grab victims into the water.,Aztec,North America,https://www.pinterest.com/pin/576953402243038224/,,,
Airavata,Winged flying white elephants. Carries the deity Indra.,India,Asia Pacific,#,,,
Alfar,Light elves beautiful race of angelic elf-like beings Located in Asgard. Minor gods of Nature and Fertility. Can give and take away artistic and musical inspiration.,Scandinavian,Europe,#,,,
Alkonost,Body of a bird torso and head of a woman. With an enchanting voice sirens.,Slavic,Europe,#,,,
Alp,A shapeshifting dream demon that appears as a dog cat snake pig or butterfly. Causes sleep paralysis apnea and walking.,German,Europe,https://random-times.com/2021/04/21/alps-nightmare-creatures-of-german-folklore/,,,
Altamaha-ha,Fish-like mosasaurus-type creature lives in rice fields,Georgia,North America,https://non-aliencreatures.fandom.com/wiki/Altamaha-ha,,,
Amarok,Giant wolf that roams the barren lands or the Arctic. Amarok hunts alone in the wilderness instead of living in a pack. (Similar to Twilight werewolf),Inuit,North America,#,,,
Amazons,A race of all-female warriors who once a year abandon chastity to have intercourse with the surrounding cultures. Nine months later they give the boys to the towns and keep the girls.,Greek,Europe,#,,,
Ameretat,Long life and immortality,Achaemenid Empire,Middle East,#,,,
Amphisbaena,A two-headed snake one at each end with chicken feet dragon wings horns and eyes capable of seeing in absolute darkness. It is venomous on both ends.,Greek,Europe,https://www.deviantart.com/feig-art/art/Amphisbaena-675271179,,,
Amphitere,Dragon without back legs Can be covered in feathers instead of scales Some have a beak-like snout.,Greek,Europe,#,,,
Ananame,Frog-like humanoid that licks dirty bathrooms if not cleaned properly.,Japan,Asia Pacific,#,,,
Annwynians,Gods of ancient Celtic people. Their realm is called Annwyn.,Celtic,Europe,#,,,
Apkallu,Man/fish hybrid (merman) wise when on land looks like a normal human always wears a cloak that looks like a carp fish.,Akkadian,Middle East,https://medium.com/@woelf20/obscure-tales-the-apkallu-389ac6df049c,,,
Aqrabuamelu,Scorpion-men guardians who warn travelers of danger meant to kill the gods.,Japan,Asia Pacific,#,,,
Asha Vahishta,Truth and righteousness.,Achaemenid Empire,Middle East,#,,,
Aspidocholne,A giant sea turtle the size of a small island that eats unsuspecting travelers on its shell.,Greek,Europe,https://www.pinterest.com/pin/198439927317402551/,,,
Aswang,Shapeshifting monster that devours unborn babies. Identified by the upside-down reflection in their eyes.,Philippines,Asia Pacific,#,,,
Atlantians,The Atlanteans were an advanced civilization with knowledge of astronomy architecture and more. In some accounts they were scientists and magicians.,Greek,Europe,#,,,
Ba Ba Yaga Ba Ba Yuga,Life death strong wind {god?} earth underworld sky domains. Hut walks on chicken legs as it rotates. Human bone gate constantly spinning. House part flies on magic mortar. Witch that eats people.,Slavic,Europe,#,,,
Baby Tree (Waq Waq),Tree that grows babies. Eating a baby from this tree supposedly grants immortality.,China,Asia Pacific,#,,,
Baize,6-horned bull (2 on the head 4 on the back) with 9 eyes (3 on the face 3 on each side of the back). A sign of good luck for emperors.,China,Asia Pacific,https://chimericade.tumblr.com/post/81217499300/i-really-need-to-stop-half-assing-everything-i-do,,,
Bake-Kugira,Whale skeleton that swims with strange birds and fish bringing famine and death.,Japan,Asia Pacific,#,,,
Bakunawa,Sea dragon so large that its movements cause natural disasters.,Philippines,Asia Pacific,#,,,
Banshee,Ghost of a dead woman who warns families of a new death due to the shrieking cry of the banshee.,Irish,Europe,#,,,
Barghests,A big black dog shapeshifter death omen invisible sometimes a demonic sheep or livestock moves with a chain-dragging sound.,England,Europe,https://www.deviantart.com/deimos-remus/art/B-is-for-Barghest-692758660,,,
Basilisk,A snake with two rooster legs in the front wings and the ability to spit fire and acid at its victims. It turns victims to stone.,Greek,Europe,https://www.pinterest.com/pin/669558669577588053/,,,
Bear Lake Monster,Serpent-like creature,Utah/Idaho,North America,#,,,
Beast of Bodmin Moor,A giant black cat that attacks livestock.,England,Europe,#,,,
Beast of Busco,Giant snapping turtle (Oscar?),Indiana,North America,#,,,
Beisht Kione,Serpentine-eel dragon with black head.,Irish,Europe,#,,,
Bennu,Egyptian equivalent to the phoenix. Soul of the sun god Ra.,Egyptian,Africa,#,,,
Black Annis,A witch with a blue face and iron claws who haunts Leicestershire at night. She eats young children and animals. Her howl can be heard from 8 kilometers away. She wears a skirt made from children's skin and drinks their blood.,England,Europe,#,,,
Boggarts,Loves to hide in dark places. Shapeshifters that cause many misfortunes in the home such as breaking things turning food sour or rotten and making the house creak.,England,Europe,#,,,
Bohanacen,Body of a bull head of a lion. Appears only on the Chinese New Year but can be scared off by loud noises and fire (origin of firework tradition?).,China,Asia Pacific,https://warriorsofmyth.fandom.com/wiki/Bonnacon,,,
Boobrie,Shapeshifting water spirit generally takes form of a large rapture (bird).,Scotland,Europe,#,,,
Boorda,Blindfolded and inhabitant of bogs swamps and marshlands ward away children from a worse fate.,Italian,Europe,#,,,
Bubak,A sentient scarecrow that cries like a baby to lure victims then kills them.,Czech,Europe,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/7103c915-7693-4d00-b0c5-1d7e729910fa/ddxdptz-c5c230e7-60ff-4e0d-9d07-8d793e8a8d15.jpg/v1/fill/w_291,,,
Bukavoc,Six legs gnarled horns loud noise-causing strangling people and livestock.,Slavic,Europe,#,,,
Bukwerdgie,Once friendly now hates humans prankster sometimes just straight hostile,Wampanoag Tribe (Delaware),North America,#,,,
Bunyip,Man-eating monster that lives in rivers lakes and swamps of Australia. Howls at night and prefers women and children.,Australia,Asia Pacific,https://en.wikipedia.org/wiki/Bunyip,,,
Caladrius,Snow-white bird friendly creature living in the emperor's house. Can take sickness from a person onto itself and fly away. As it flies it loosens the sickness thereby healing the king and itself.,Ancient Rome,Europe,#,,,
Caladrius,Pure white bird from Roman Mythos absorbs sickness flies away and cures itself comes back and does it all again. Predictor of someone's death.,Ancient Rome,Europe,#,,,
Camazotz,Giant bat-like man hunts Mayans. (Kills all people) Created to kill wicked people and those who don't follow the Mayan gods.,Mexico,North America,#,,,
Campe,A creature with the lower body of a dragon a scorpion's tail and the upper body of a female with snakes coiled around her ankles. Her waist contains all manner of beasts.,Greek,Europe,https://www.deviantart.com/hellraptorstudios/art/Myth-Campe-809499519,,,
Ceasg,Upper body of a girl and lower body of a grilse (salmon). Grants three wishes to whoever catches her.,Scotland,Europe,#,,,
Chimaera,A fusion of different animals. The most famous is the Chimaera an ancient Greek monster with the body of a lion a goat's head on its back and a snake tail. It has dragon wings and breathes fire like a turret.,Greek,Europe,https://www.pinterest.ie/pin/404549979018236785/?amp_client_id=CLIENT_ID(_)&mweb_unauth_id=&simplified=true,,,
Churel,Ghost of a woman who died during childbirth. Has backward feet and a long black tongue; drains youth semen blood and fertility.,India,Asia Pacific,#,,,
Cipactli,Earth created from the destruction of a large sea demon. Crocodile with toad and fish characteristics. Gods killed it and its head became the 13th heaven midsection earth and its tail the underworld.,Aztec,North America,#,,,
Cirein-Croin,A huge Scottish sea monster that shapeshifts into a silverfish and hunts whales.,Gaelic,Europe,https://www.artstation.com/artwork/aYRRkX,,,
Cockatrice,A creature with the front half of a rooster dragon wings and a snake tail. It spits fire and turns its victims to stone.,Greek,Europe,https://www.quora.com/Is-a-cockatrice-the-same-mythical-creature-as-a-basilisk,,,
Cutty Dyer,A water sprite or ogre who stalks the waters of the River Yeo or Ashburn. This legend is most famous in Kingsbridge.,England,Europe,#,,,
Cyclops,One-eyed giants with poor vision but excellent hearing and smell. They can mimic others' voices to lure prey. They can be both peaceful and violent.,Greek,Europe,https://www.greekmythology.com/Myths/Creatures/Cyclopes/cyclopes.html,,,
Daguanoenyont,Giant head with wings that terrorized a village after a man decapitated elders,Iroquois,North America,#,,,
Dames Blanches,Beautiful girls' spirits that live under bridges. To pass one must either help them or dance with them.,German,Europe,#,,,
Dewayo,Monstrous wolf (abnormally fast strong and big think Twilight werewolf),West Virginia,North America,https://www.google.com/url?q=https%3A%2F%2Fnews.wvpublic.org%2Fhistory%2F2019-10-04%2Fthe-history-of-the-dewayo-west-virginias-legendary-werewolf&sa=D&source=editors&ust=1672763602685084&usg=AOvVaw2TkWOhykDQQlbAOGEkgfAP,,,
Diao Si Gui,Ghost of a hanging victim with a long red tongue.,China,Asia Pacific,https://www.deviantart.com/dread-softly/art/Day-24-Diao-Si-Gui-859537316,,,
Diwanta,Divine beings or spirits.,Philippines,Asia Pacific,#,,,
Dokkabebi,Possessed inanimate objects inhabited by nature spirits  not deceased human souls.,Korean,Asia Pacific,#,,,
Dokkalfr,Race of dark elves from Norse mythos can't go into light or will turn to stone. Has darker skin. Can cause nightmares and haunt animals into a panic.,Scandinavian,Europe,#,,,
Domovoi,Animal shapeshifting bearded man. Causes problems if house is dirty. (Prankster).,Russian,Europe,#,h_350,q_70,strp/bubak_by_eggmungus_ddxdptz-350t.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTA4MiIsInBhdGgiOiJcL2ZcLzcxMDNjOTE1LTc2OTMtNGQwMC1iMGM1LTFkN2U3Mjk5MTBmYVwvZGR4ZHB0ei1jNWMyMzBlNy02MGZmLTRlMGQtOWQwNy04ZDc5M2U4YThkMTUuanBnIiwid2lkdGgiOiI8PTkwMCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.SmBxvzT9ezo_X5mgUrqKo40WEQfq_hVwd5wnXv_QP1U
Domovoi,House elf small old man. Appears and curses the house (if house not to their liking).,Slavic,Europe,#,,,
Dover Demon,Gangly creature spotted on stone walls,Massachusetts,North America,#,,,
Drake's Drum,A drum that will resurrect Sir Francis Drake and a small army to help defend England. When England is in dire need the drum will sound. If still needed Drake will resurrect and beat back the enemies.,England,Europe,#,,,
Drop Bear,Marsupial that attacks by dropping from trees and kills travelers.,Australia,Asia Pacific,https://mashable.com/article/drop-bear-lane-tamworth-what-are-drop-bears,,,
Dullahaun,Headless horseman. Has head in a sack next to the rider and holds a whip made of bone. Monster that the myth of the Headless Horseman is based off of. Horse is also missing a head.,Irish,Europe,#,,,
Duorooroi,Look over house and yard. Happy & calm generally pay them in shiny stuff and they will do your work for you.,Slavic,Europe,#,,,
Dybbuk,Evil possessing spirit leaves after goal (spirit of dead person with unfinished goals).,Israel,Middle East,#,,,
Dziwozona,Women in swamps that use their large breasts and female body to entice men to a water death in swamps.,Slavic,Europe,#,,,
El Chupacabras,Small monster that eats and drains the blood from livestock. About the size of a small dog.,South America,South America,https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-wixmp-ed30a86b8c4ca887773594c2.wixmp.com%2Ff%2Fe273edd9-cce5-4757-98a6-8d58d5701157%2Fddxalm9-e0029491-05a2-43e1-a1aa-480ded3627f1.jpg%2Fv1%2Ffill%2Fw_1600%2Ch_2041%2Cq_75%2Cstrp%2Fel_chupacabras_by_miguelfirewolf_ddxalm9-fullview.jpg%3Ftoken%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MjA0MSIsInBhdGgiOiJcL2ZcL2UyNzNlZGQ5LWNjZTUtNDc1Ny05OGE2LThkNThkNTcwMTE1N1wvZGR4YWxtOS1lMDAyOTQ5MS0wNWEyLTQzZTEtYTFhYS00ODBkZWQzNjI3ZjEuanBnIiwid2lkdGgiOiI8PTE2MDAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.km186Zu_6kiHrpDZ4lOrBa5zoao61Lv7WDvVmC7rj_Y&imgrefurl=https%3A%2F%2Fwww.deviantart.com%2Fmiguelfirewolf%2Fart%2FEl-Chupacabras-841982193&tbnid=rjw8PAfocX3llM&vet=12ahUKEwiXu7O7yrL3AhWeGzQIHUQnBnYQMygJegUIARDUAQ..i&docid=2iTb5uWaWZS8zM&w=1600&h=2041&q=El%20chupacabras&ved=2ahUKEwiXu7O7yrL3AhWeGzQIHUQnBnYQMygJegUIARDUAQ,,,
El Silbon,Long-limbed tall thin man (corpse-looking) with a straw hat and a knapsack with human bones in it. If his whistle is leaving he is coming. If his whistle is coming closer he is leaving. Created from a curse placed by his grandfather for killing his murderous father who killed his mother.,South America,South America,#,,,
Empusa,An invisible demon with fire hair donkey feet and an unnaturally beautiful human body. It feeds off men's energy similar to a Greek succubus.,Greek,Europe,https://www.pinterest.com/pin/27092035234775552/,,,
Ewah,Tulpa are creatures that spontaneously spawn from a young child's fantasy. It is only visible to the person who created it. Ewah are dangerous Tulpa that are created from the imagination of a madman. After driving the creator insane it takes on a flesh form and drives others insane.,Cherokee,North America,#,,,
Fachan,Monstrous giant with only half a body (why?).,Scotland,Europe,#,,,
Fairies,Ancient race from another dimension both good and bad.,Celtic,Europe,https://dublin2019.com/irish-fiction-friday-the-four-jewels-of-the-tuatha-de-danann/,,,
Fenghuang,Feng (male) and Huang (female) were later combined and considered the king of birds. Males have 5/3 tail feathers; females have 2.,China,Asia Pacific,#,,,
Flat-Headed Lake Monster,Long eel with a flatter head,Montana,North America,#,,,
Fomorians,Supernatural race of humanoid beings that are direct enemies to the Tuatha Dé Danann. Personifies wild and destructive natures.,Irish,Europe,#,,,
Fouke,Tall shaggy monster eats livestock,Arkansas,North America,https://www.aymag.com/arkansas-backstories-fouke-monster/,,,
Fresno,Long-legged no-armed 'alien?',California,North America,https://www.pinterest.com/pin/620370917395025510/,,,
Galupalik,Kidnapped children by stuffing them into a pouch and jumping into the sea.,Inuit,North America,#,,,
Gamaiun or Gamayun,A heavenly bird that has a large size and is often white. Bird body with the head and chest of a woman.,Slavic,Europe,#,,,
Garuda,Bird with a golden body ; bright white face; red wings of an eagle. Wears a crown on its head.,Indonesia,Asia Pacific,#,,,
Gashadokuro,Massive skeleton formed from the bodies of starvation victims. Bites off the heads of travelers.,Japan,Asia Pacific,#,,,
Gello,A child-hunting demon that brings death and sickness.,Greek,Europe,https://twitter.com/michael_lambda/status/1263687018959306756,,,
Ghatotkacha,Humble and loyal giant human turns into a giant at will ability to glide,Native American,North America,#,,,
Ghoul,Shapeshifting demon that looks like the last corpse eaten.,Arabic,Middle East,https://halloween.fandom.com/wiki/Ghoul,,,
Ghuls Jinn,Reside in graveyards and feast on human flesh. Love to lure travelers to their death. Females take the form of donkey-legged women to lure them to their death.,Middle East,Middle East,#,,,
Gnome,Dwarflike guardians of underground treasure resembling little old men with hunched backs.,German,Europe,#,,,
Goatman,Man with goat legs and head 'Satan?' carries an axe.,Maryland,North America,#,,,
Goblin,Troublemakers with qualities of malice and greed. They have varying physical characteristics.,German,Europe,#,,,
